hkjc_team_id,hkjc_name_en,hkjc_event_id,reason,near_count,source_errors,fetched_at
50000155,Almere City,FB5709,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001051,Egypt,FB5758,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000180,Angola,FB5758,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002012,Mali,FB5759,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000673,Cape Verde Islands,FB5759,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000138,Algeria,FB5762,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50003409,Zambia,FB5762,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002168,Morocco,FB5788,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001326,Gabon,FB5788,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50283454,Hartford Athletic,FB5739,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001959,Louisville City,FB5739,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50566596,Sporting Club Jacksonville,FB5764,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50283463,Loudoun Utd,FB5764,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000257,Atlante,FB5718,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002152,Monterrey,FB5718,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50325834,El Paso Locomotive,FB5782,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001193,FC Tulsa,FB5782,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50003076,Tijuana,FB5707,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000258,Atlas,FB5707,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002148,Montedio Yamagata,FB5725,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000474,Blaublitz Akita,FB5726,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50000127,Albirex Niigata,FB5726,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50002324,Oita Trinita,FB5727,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
50001776,Kataller Toyama,FB5728,SOURCE_ERROR,0,"[[""2026-09-24"",""HTTPError"",403],[""2026-09-25"",""HTTPError"",403],[""2026-09-26"",""HTTPError"",403]]",2026-09-24T14:30:51.322739+00:00
