hkjc_event_id,kickoff_hkt,hkjc_team_id,hkjc_team_name,side,verified_history_matches,previous_verified_kickoff,rest_hours,starter_overlap,starters_changed,verified_squad_size,goalkeepers,defenders,midfielders,attackers,future_fixtures_7d,future_fixtures_14d,rotation_evidence_class,depth_evidence_class,congestion_evidence_class,source
FB5787,2026-09-25T22:00:00+08:00,50002398,Panama,AWAY,0,,,,,27,0,10,7,6,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5738,2026-09-25T23:00:00+08:00,50001584,Iceland U21,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5738,2026-09-25T23:00:00+08:00,50001272,France U21,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5757,2026-09-25T23:00:00+08:00,50002260,Niger,HOME,0,,,,,24,0,7,9,4,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5757,2026-09-25T23:00:00+08:00,50001898,Lesotho,AWAY,0,,,,,18,0,6,6,3,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5740,2026-09-25T23:30:00+08:00,50000594,Bulgaria U21,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5740,2026-09-25T23:30:00+08:00,50002505,Portugal U21,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5765,2026-09-25T23:30:00+08:00,50001243,Finland U21,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5765,2026-09-25T23:30:00+08:00,50002897,Spain U21,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5715,2026-09-26T00:00:00+08:00,50001354,Georgia,HOME,0,,,,,28,0,8,8,8,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5715,2026-09-26T00:00:00+08:00,50002291,Northern Ireland,AWAY,0,,,,,29,0,10,9,6,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5716,2026-09-26T00:00:00+08:00,50000236,Armenia,HOME,0,,,,,28,0,9,6,8,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5716,2026-09-26T00:00:00+08:00,50001873,Latvia,AWAY,0,,,,,34,0,15,10,5,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5723,2026-09-26T00:00:00+08:00,50002859,Slovakia U21,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5723,2026-09-26T00:00:00+08:00,50002624,Republic of Ireland U21,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5746,2026-09-26T00:00:00+08:00,50002261,Nigeria,HOME,0,,,,,34,0,11,11,8,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5746,2026-09-26T00:00:00+08:00,50001993,Madagascar,AWAY,0,,,,,25,0,11,3,7,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5761,2026-09-26T00:00:00+08:00,50002004,Malawi,HOME,0,,,,,21,0,5,7,6,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5761,2026-09-26T00:00:00+08:00,50002890,South Sudan,AWAY,0,,,,,31,0,10,11,9,0,0,INSUFFICIENT_HISTORY,FACT,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5724,2026-09-26T00:30:00+08:00,50002225,Netherlands U21,HOME,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
FB5724,2026-09-26T00:30:00+08:00,50002297,Norway U21,AWAY,0,,,,,0,0,0,0,0,0,0,INSUFFICIENT_HISTORY,NO_VERIFIED_SQUAD,FACT_CURRENT_HKJC_UNIVERSE,phase2_hkjc_current+phase2_player_master
