fetched_at_hkt,match_id,hkjc_event_id,kickoff_hkt,status,tournament,home_en,away_en,home_zh,away_zh,pools,had_home,had_draw,had_away,hil_line,hil_over,hil_under,chl_line,chl_over,chl_under,pool_status,in_play,selling,odds_updated_at
2026-09-22T23:08:02+08:00,50076586,FB5631,2026-09-22T22:40+08:00,FIRSTHALF,UPP,Al Orooba,Dubai City FC,艾奧洛巴,杜拜城FC,HHA+FLH+FCS+FHA+HLA+HAD+TTG+HLH+CRS+FHL+FLA+HIL+NTS1,1.39,3.8,6.6,2.5,2.08,1.66,,,,SELLINGSTARTED,1,1,2026-09-21T19:30:05.738+08:00
2026-09-22T23:08:02+08:00,50076588,FB5644,2026-09-22T22:40+08:00,FIRSTHALF,UPP,Al Hamriyah,Al Dhaid,艾哈利亞,艾爾代,HLA+HDC+FLA+HLH+FLH+FHL+CRS+FCS+HIL+HHA+TTG+FHA+HAD+NTS1+FHH,2.18,2.92,3.02,2.5,2.5,1.46,9.5,1.38,2.75,SELLINGSTARTED,1,1,2026-09-22T12:00:05.770+08:00
2026-09-22T23:08:02+08:00,50076192,FB5640,2026-09-22T23:00+08:00,FIRSTHALF,QSC,Al Bidda,Al Shamal,Al Bidda,Al Shamal,,,,,,,,,,,,0,0,
2026-09-22T23:08:02+08:00,50076206,FB5605,2026-09-23T00:45+08:00,PREEVENT,UCLW,Inter Milan Women,Hacken Women,國際米蘭女足,赫根女足,SGA14+CRS+OOE+FHL+SGA11+SGA18+SGA4+SGA1+HLH+HIL+FCS+SGA9+SGA17+TTG+HFT+SGA2+FTS+HHA+FHA+SGA12+SGA16+SGA20+HDC+SGA10+SGA8+FLH+FCH+HAD+SGA15+SGA5+SGA13+SGA6+SGA19+SGA7+FLA+SGA3+HLA+CHL+FHH,1.92,3.45,3.0,2.5,1.64,2.12,9.5,1.85,1.85,SELLINGSTARTED,1,1,2026-09-21T19:05:19.192+08:00
2026-09-22T23:08:02+08:00,50076216,FB5606,2026-09-23T00:45+08:00,PREEVENT,UCLW,Bayern Munich Women,Manchester City Women,拜仁慕尼黑女足,曼城女足,FCS+CHA+SGA4+HFT+FHH+SGA15+HIL+SGA11+FLH+FCH+SGA5+OOE+SGA19+FHL+FHC+SGA17+HLA+SGA9+CHL+CHH+SGA13+HLH+CHD+SGA6+FLA+TTG+HDC+SGA10+HAD+CRS+SGA2+FHA+SGA3+CFH+SGA20+SGA7+HHA+FTS+CFA+SGA16+SGA12+SGA18+SGA8+SGA1+SGA14,1.77,4.0,3.05,2.5,1.43,2.6,10.5,2.1,1.65,SELLINGSTARTED,1,1,2026-09-21T19:05:19.192+08:00
2026-09-22T23:08:02+08:00,50076193,FB5641,2026-09-23T01:15+08:00,PREEVENT,QSC,Mesaimeer,Al Waab,梅沙美,艾華比,SGA1+TTG+SGA12+SGA4+SGA8+SGA5+SGA15+FTS+OOE+SGA9+FHH+HAD+CRS+FHA+SGA3+SGA19+SGA13+SGA17+FLH+HHA+FCS+HIL+HFT+SGA14+SGA11+HDC+SGA18+SGA2+SGA6+SGA20+HLA+SGA16+FHL+HLH+SGA7+SGA10+FLA,2.25,3.4,2.53,2.5,1.63,2.13,,,,SELLINGSTARTED,1,1,2026-09-22T12:00:05.770+08:00
2026-09-22T23:08:02+08:00,50076194,FB5642,2026-09-23T01:15+08:00,PREEVENT,QSC,Muaither SC,Al Khor,穆阿伊瑟SC,艾科爾,HLA+FLA+HHA+FHA+HIL+HLH+FTS+OOE+FHL+CRS+TTG+FCS+HAD+FLH+HFT,1.91,3.6,3.0,2.5,1.53,2.33,,,,SELLINGSTARTED,0,1,2026-09-22T12:00:05.770+08:00
2026-09-22T23:08:02+08:00,50076199,FB5588,2026-09-23T02:00+08:00,PREEVENT,ELT,Swindon,Newport County,史雲頓,紐波特郡,SGA10+SGA6+HDC+HLA+HAD+HLH+SGA19+SGA5+SGA14+FLA+TTG+SGA9+SGA15+FLH+SGA11+SGA20+OOE+HFT+SGA4+SGA12+SGA16+FCS+FHL+SGA8+SGA3+CRS+HHA+FHA+SGA17+SGA1+SGA7+SGA2+SGA18+HIL+FTS+SGA13,1.83,3.45,3.35,3.5,2.6,1.42,,,,SELLINGSTARTED,1,1,2026-09-21T12:00:05.643+08:00
2026-09-22T23:08:02+08:00,50076203,FB5589,2026-09-23T02:00+08:00,PREEVENT,ELT,Milton Keynes Dons,Crawley Town,米爾頓凱恩斯,卡維尼,HLA+HIL+FLA+FTS+HFT+FCS+FHA+HHA+HLH+CRS+FLH+TTG+FHL+OOE+HAD,1.26,5.2,6.7,3.5,1.78,1.92,,,,SELLINGSTARTED,0,1,2026-09-21T12:00:05.643+08:00
2026-09-22T23:08:02+08:00,50076205,FB5590,2026-09-23T02:00+08:00,PREEVENT,ELT,Notts County,Grimsby,諾士郡,甘士比,HFT+HAD+FCS+HLA+FLH+HIL+FTS+FHA+HHA+OOE+TTG+CRS+HLH+FLA+FHL,2.34,3.35,2.46,3.5,2.48,1.47,,,,SELLINGSTARTED,0,1,2026-09-21T12:00:05.643+08:00
