fetched_at_utc,hkjc_event_id,kickoff_hkt,home_id,away_id,home,away,sofascore_event_id,sofascore_home_id,sofascore_away_id,sofascore_home,sofascore_away,sofascore_tournament,kickoff_delta_seconds,mapping_status,mapping_reason,h2h_games,home_wins,draws,away_wins,home_goals,away_goals,avg_total_goals,last5,meetings_json,source,quality
2026-09-24T15:43:34+00:00,FB5762,2026-09-26T03:00:00+08:00,50000138,50003409,Algeria,Zambia,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5788,2026-09-26T03:00:00+08:00,50002168,50001326,Morocco,Gabon,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5705,2026-09-26T06:28:00+08:00,50002305,50002743,Novorizontino,Sao Bernardo,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5704,2026-09-26T06:57:00+08:00,50000796,50000291,Colo Colo,Audax Italiano,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5739,2026-09-26T07:00:00+08:00,50283454,50001959,Hartford Athletic,Louisville City,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5706,2026-09-26T07:28:00+08:00,50003322,50001955,Vila Nova,Londrina,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5764,2026-09-26T07:30:00+08:00,50566596,50283463,Sporting Club Jacksonville,Loudoun Utd,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5718,2026-09-26T09:00:00+08:00,50000257,50002152,Atlante,Monterrey,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5782,2026-09-26T09:00:00+08:00,50325834,50001193,El Paso Locomotive,FC Tulsa,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5707,2026-09-26T11:00:00+08:00,50003076,50000258,Tijuana,Atlas,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5720,2026-09-26T14:00:00+08:00,50000761,50003063,China AM,Thailand AM,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5725,2026-09-26T16:00:00+08:00,50002148,50002695,Montedio Yamagata,Sagan Tosu,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5726,2026-09-26T16:00:00+08:00,50000474,50000127,Blaublitz Akita,Albirex Niigata,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5727,2026-09-26T16:00:00+08:00,50002324,50001318,Oita Trinita,Fujieda MYFC,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5728,2026-09-26T16:00:00+08:00,50001776,50001196,Kataller Toyama,FC Yokohama,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5729,2026-09-26T16:00:00+08:00,50001167,50002827,FC Imabari,Shonan Bellmare,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5730,2026-09-26T16:00:00+08:00,50002343,50003298,RB Omiya Ardija,Ventforet Kofu,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5741,2026-09-26T16:00:00+08:00,50319129,50001550,Tegevajaro Miyazaki,Hokkaido Consadole Sapporo,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
2026-09-24T15:43:34+00:00,FB5742,2026-09-26T16:00:00+08:00,50001732,50003268,Jubilo Iwata,Vanraure Hachinohe,,,,,,,,SOURCE_UNAVAILABLE,schedule_fetch_failed,0,0,0,0,0,0,,,[],SOFASCORE,SOURCE_UNAVAILABLE
