DATE,TIME,LEAGUE,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,1X PER,12 PER,X2 PER,OVER 1.5,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,SOURCE_URL,SOURCE_DATE,SOURCE_TIME,TIMEZONE,HOME_AWAY_EXPLICIT
20/09/2026,13:00,,Parma,Genoa,29,31,40,60,69,71,58,65,35,43,57,BCL,https://www.betclan.com/predictionsdetails/football/200554001/parma-v-genoa-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 14:00,14:00,Europe/London,1
20/09/2026,13:00,,Verona,Vicenza,53,27,20,80,73,47,73,45,55,58,42,BCL,https://www.betclan.com/predictionsdetails/football/200556428/verona-v-vicenza-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 14:00,14:00,Europe/London,1
20/09/2026,13:30,,Bayer Leverkusen,RB Leipzig,51,21,28,72,79,49,90,27,73,75,25,BCL,https://www.betclan.com/predictionsdetails/football/200550961/bayer-leverkusen-v-rb-leipzig-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 14:30,14:30,Europe/London,1
20/09/2026,14:00,,AC Horsens,AGF Aarhus,22,23,55,45,77,78,74,43,57,59,41,BCL,https://www.betclan.com/predictionsdetails/football/200543619/ac-horsens-v-agf-aarhus-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:00,15:00,Europe/London,1
20/09/2026,14:00,,AD Ovarense,CF Os Marialvas,58,24,18,82,76,42,72,45,55,57,43,BCL,https://www.betclan.com/predictionsdetails/football/201431196/ad-ovarense-v-cf-os-marialvas-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:00,15:00,Europe/London,1
20/09/2026,14:00,,Gremio,Palmeiras,21,24,55,45,76,79,70,49,51,55,45,BCL,https://www.betclan.com/predictionsdetails/football/200500594/gremio-v-palmeiras-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:00,15:00,Europe/London,1
20/09/2026,14:00,,Karlberg,Stockholm Internazionale,18,22,60,40,78,82,77,37,63,62,38,BCL,https://www.betclan.com/predictionsdetails/football/1505271/karlberg-v-stockholm-internazionale-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:00,15:00,Europe/London,1
20/09/2026,14:00,,Sint-Truidense,Westerlo,60,21,19,81,79,40,84,31,69,69,31,BCL,https://www.betclan.com/predictionsdetails/football/200499969/sint-truidense-v-westerlo-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:00,15:00,Europe/London,1
20/09/2026,14:15,,AD Ceuta,Valladolid,30,35,35,65,65,70,72,55,45,57,43,BCL,https://www.betclan.com/predictionsdetails/football/200658722/ad-ceuta-v-valladolid-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:15,15:15,Europe/London,1
20/09/2026,14:15,,Atletico Madrid,Real Madrid,25,24,51,49,76,75,84,31,69,69,31,BCL,https://www.betclan.com/predictionsdetails/football/200657795/atletico-madrid-v-real-madrid-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:15,15:15,Europe/London,1
20/09/2026,14:30,,Basel,St Gallen,25,38,37,63,62,75,88,29,71,73,27,BCL,https://www.betclan.com/predictionsdetails/football/200660347/basel-v-st-gallen-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:30,15:30,Europe/London,1
20/09/2026,14:30,,Degerfors,Hammarby,10,14,76,24,86,90,68,37,63,53,47,BCL,https://www.betclan.com/predictionsdetails/football/200660005/degerfors-v-hammarby-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:30,15:30,Europe/London,1
20/09/2026,14:30,,Estrela Amadora,Academico Viseu,47,27,26,74,73,53,70,43,57,55,45,BCL,https://www.betclan.com/predictionsdetails/football/200612519/estrela-amadora-v-academico-viseu-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:30,15:30,Europe/London,1
20/09/2026,14:30,,FC Lausanne-Sport,Lugano,22,23,55,45,77,78,76,41,59,61,39,BCL,https://www.betclan.com/predictionsdetails/football/200660351/fc-lausanne-sport-v-lugano-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:30,15:30,Europe/London,1
20/09/2026,14:30,,Mjällby AIF,GAIS,27,38,35,65,62,73,76,42,58,61,39,BCL,https://www.betclan.com/predictionsdetails/football/200660008/mjällby-aif-v-gais-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:30,15:30,Europe/London,1
20/09/2026,14:45,,De Graafschap,NAC,27,20,53,47,80,73,90,25,75,75,25,BCL,https://www.betclan.com/predictionsdetails/football/200553123/de-graafschap-v-nac-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:45,15:45,Europe/London,1
20/09/2026,14:45,,NEC,Go Ahead Eagles,52,22,26,74,78,48,90,25,75,75,25,BCL,https://www.betclan.com/predictionsdetails/football/200552147/nec-v-go-ahead-eagles-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 15:45,15:45,Europe/London,1
20/09/2026,15:00,,Club Africain,ES Zarzis,68,25,7,93,75,32,46,67,33,31,69,BCL,https://www.betclan.com/predictionsdetails/football/1607436/club-africain-v-es-zarzis-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 16:00,16:00,Europe/London,1
20/09/2026,15:00,,FC Salzburg,SK Sturm Graz,63,20,17,83,80,37,84,29,71,69,31,BCL,https://www.betclan.com/predictionsdetails/football/200498397/fc-salzburg-v-sk-sturm-graz-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 16:00,16:00,Europe/London,1
20/09/2026,15:00,,Kano Pillars,Doma United,52,27,21,79,73,48,57,64,36,42,58,BCL,https://www.betclan.com/predictionsdetails/football/1628503/kano-pillars-v-doma-united-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 16:00,16:00,Europe/London,1
20/09/2026,15:00,,Sandefjord,IK Start,50,25,25,75,75,50,78,39,61,63,37,BCL,https://www.betclan.com/predictionsdetails/football/200608153/sandefjord-v-ik-start-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 16:00,16:00,Europe/London,1
20/09/2026,15:00,,Tromso,HamKam,66,20,14,86,80,34,72,39,61,57,43,BCL,https://www.betclan.com/predictionsdetails/football/200608159/tromso-v-hamkam-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 16:00,16:00,Europe/London,1
20/09/2026,15:00,,Viking FK,Lillestrom,71,18,11,89,82,29,81,24,76,66,34,BCL,https://www.betclan.com/predictionsdetails/football/200608164/viking-fk-v-lillestrom-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 16:00,16:00,Europe/London,1
20/09/2026,15:15,,Nice,Lille,25,25,50,50,75,75,72,48,52,57,43,BCL,https://www.betclan.com/predictionsdetails/football/200549168/nice-v-lille-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 16:15,16:15,Europe/London,1
20/09/2026,15:30,,Fulham,Man Utd,26,24,50,50,76,74,81,37,63,66,34,BCL,https://www.betclan.com/predictionsdetails/football/200549685/fulham-v-man-utd-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 16:30,16:30,Europe/London,1
20/09/2026,15:30,,Mura,Celje,22,21,57,43,79,78,72,45,55,57,43,BCL,https://www.betclan.com/predictionsdetails/football/1558018/mura-v-celje-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 16:30,16:30,Europe/London,1
20/09/2026,15:30,,Schalke,Elversberg,50,25,25,75,75,50,84,35,65,69,31,BCL,https://www.betclan.com/predictionsdetails/football/200550965/schalke-v-elversberg-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 16:30,16:30,Europe/London,1
20/09/2026,16:00,,Ermis,PAEEK,29,28,43,57,72,71,68,39,61,53,47,BCL,https://www.betclan.com/predictionsdetails/football/1609513/ermis-v-paeek-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 17:00,17:00,Europe/London,1
20/09/2026,16:00,,FH hafnarfjordur,Stjarnan,27,37,36,64,63,73,88,27,73,73,27,BCL,https://www.betclan.com/predictionsdetails/football/1638640/fh-hafnarfjordur-v-stjarnan-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 17:00,17:00,Europe/London,1
20/09/2026,16:00,,Hibernians,Floriana,21,21,58,42,79,79,53,64,36,38,62,BCL,https://www.betclan.com/predictionsdetails/football/1582277/hibernians-v-floriana-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 17:00,17:00,Europe/London,1
20/09/2026,16:00,,Juventus,Atalanta,58,23,19,81,77,42,70,45,55,55,45,BCL,https://www.betclan.com/predictionsdetails/football/200554003/juventus-v-atalanta-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 17:00,17:00,Europe/London,1
20/09/2026,16:00,,Trygg/Lade,Levanger,10,13,77,23,87,90,81,22,78,66,34,BCL,https://www.betclan.com/predictionsdetails/football/1496335/trygg-lade-v-levanger-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 17:00,17:00,Europe/London,1
20/09/2026,16:00,,Viborg,FC Nordsjaelland,33,22,45,55,78,67,84,35,65,69,31,BCL,https://www.betclan.com/predictionsdetails/football/200543621/viborg-v-fc-nordsjaelland-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 17:00,17:00,Europe/London,1
20/09/2026,16:15,,Zamora CF,Lugo,48,27,25,75,73,52,58,62,38,43,57,BCL,https://www.betclan.com/predictionsdetails/football/201305120/zamora-cf-v-lugo-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 17:15,17:15,Europe/London,1
20/09/2026,16:30,,Almeria,Celta Fortuna,72,19,9,91,81,28,68,39,61,53,47,BCL,https://www.betclan.com/predictionsdetails/football/200658727/almeria-v-celta-fortuna-prediction-h2h-tip-and-match-preview/,Date 2026-09-20 17:30,17:30,Europe/London,1
